名字,导演,主演,年份,时长,国家,类型,评分,评论人数,五星,四星,三星,二星,一星
大独裁者,查理·卓别林,查理·卓别林,1940,125,美国,剧情 / 喜剧 / 战争,8.9,29935,56.0,35.6,7.7,0.6,0.1
雄狮,加斯·戴维斯,戴夫·帕特尔,2017,118,澳大利亚 / 英国 / 美国,剧情,7.4,36041,14.9,45.2,36.3,3.2,0.4
不可饶恕,克林特·伊斯特伍德,克林特·伊斯特伍德,1992,131,美国,剧情 / 西部,8.4,32123,35.9,48.4,14.5,1.0,0.2
倔强萝卜,田蒙,黄渤,2009,92,中国大陆,喜剧 / 犯罪,5.4,30987,2.1,11.7,49.3,28.1,8.7
小飞侠彼得潘,P·J·霍根,杰瑞米·桑普特,2003,113,英国 / 澳大利亚 / 美国,剧情 / 儿童 / 奇幻 / 冒险,8.1,29624,31.0,44.1,22.7,1.9,0.3
糊涂侦探,彼得·西格尔,史蒂夫·卡瑞尔,2008,110,美国,喜剧 / 动作 / 冒险,6.8,30935,8.0,34.4,48.8,7.8,0.9
法医秦明,徐昂,张若昀,,,中国大陆,剧情 / 悬疑,7.0,41156,11.2,39.7,40.3,6.9,1.9
一半海水一半火焰,刘奋斗,廖凡,2008,101,香港,剧情,6.5,29202,10.4,27.9,43.2,14.0,4.4
纯真年代,马丁·斯科塞斯,丹尼尔·戴-刘易斯,1993,139,美国,剧情 / 爱情,8.2,29426,31.0,48.3,18.9,1.5,0.3
一个字头的诞生,韦家辉,刘青云,1997,90,香港,喜剧 / 动作 / 犯罪,8.3,31667,34.1,47.2,16.5,1.8,0.4
为了N,冢原亚由子 / 山本刚义 / 阿南昭宏,荣仓奈奈,,,日本,剧情 / 悬疑,8.8,37416,53.1,35.0,10.2,1.3,0.5
金氏漂流记,李海准,郑在咏,2009,116,韩国,剧情 / 爱情,8.3,32793,34.4,46.9,16.7,1.6,0.4
十八岁的天空,李济昌,保剑锋,,,中国大陆,剧情 / 爱情,7.0,29654,12.5,33.7,45.2,6.9,1.7
法官老爹,大卫·道金,小罗伯特·唐尼,2014,141,美国,剧情,7.8,33515,21.2,50.5,26.2,1.9,0.2
绝代双骄,李国立,林志颖,,,台湾 / 中国大陆,剧情 / 武侠 / 古装,7.3,28402,14.6,39.5,40.7,4.5,0.7
五个扑水的少年,矢口史靖,妻夫木聪,2001,91,日本,喜剧 / 运动,8.4,32549,36.5,47.7,14.8,0.9,0.2
超能失控,乔什·特兰克,戴恩·德哈恩,2012,84,英国 / 美国,剧情 / 动作 / 科幻 / 惊悚,6.9,32789,10.4,36.5,42.7,8.7,1.8
尼斯湖怪：深水传说,杰·拉塞尔,亚历克斯·伊特尔,2008,112,新西兰 / 英国 / 澳大利亚,家庭 / 奇幻 / 冒险,6.7,28410,7.9,30.3,51.6,8.8,1.4
辛亥革命,张黎 / 成龙,赵文瑄,2011,121,中国大陆,剧情 / 历史,6.2,29151,5.6,21.6,54.3,15.0,3.6
空中大灌篮,乔·皮特卡,迈克尔·乔丹,1997,88,美国,喜剧 / 科幻 / 动画 / 家庭 / 冒险 / 运动,6.9,28179,11.4,32.5,47.8,7.1,1.2
巴尔扎克与小裁缝,戴思杰,周迅,2002,116,中国 / 法国,剧情 / 爱情 / 传记,7.8,28649,21.1,50.7,25.5,2.4,0.4
下一站…天后,马伟豪,蔡卓妍,2003,99,香港,剧情 / 喜剧 / 爱情,6.5,25650,7.0,22.9,58.2,10.2,1.7
百万富翁的初恋,金泰均,玄彬,2006,116,韩国,爱情,6.6,27164,8.8,26.5,51.6,11.3,1.7
布莱克书店 第一季,Martin Dennis / 格雷厄姆·莱恩汉 / Nick Wood,迪兰·莫兰,,,英国,喜剧,9.0,33598,60.7,30.0,8.3,0.8,0.2
绯闻女孩 第四季,Mark Piznarski,布蕾克·莱弗利,,,美国,剧情 / 爱情,7.5,33418,20.0,39.8,35.0,4.5,0.8
IT狂人 第二季,格雷厄姆·莱恩汉 / Barbara Wiltshire / Ben Fuller / Richard Boden,克里斯·奥多德,,,英国,喜剧,9.3,33269,69.7,25.6,4.4,0.3,0.1
失忆界女王,马楚成,古天乐,2003,97,中国大陆 / 香港,喜剧 / 爱情,6.2,25693,6.1,20.1,55.0,15.5,3.3
哦我的鬼神大人,刘在元,朴宝英,,,韩国,喜剧 / 爱情 / 惊悚,8.2,35821,34.1,43.9,19.0,2.2,0.7
机器侠,刘镇伟,孙俪,2009,102,中国大陆,喜剧 / 动作 / 爱情 / 科幻,5.2,30994,3.8,13.0,39.7,28.8,14.8
胜者即是正义 2014SP,石川淳一,堺雅人,2014,107,日本,剧情 / 悬疑,8.4,34647,39.5,41.9,17.0,1.3,0.3
摔角王,达伦·阿伦诺夫斯基,米基·洛克,2008,109,美国 / 法国,剧情 / 运动,8.3,32484,34.5,48.8,15.3,1.2,0.3
人间中毒,金大佑,宋承宪,2014,132,韩国,剧情 / 爱情 / 情色,6.4,32032,8.8,22.7,49.1,16.3,3.1
乐高蝙蝠侠大电影,克里斯·麦凯,威尔·阿奈特,2017,105,美国,喜剧 / 动作 / 动画 / 冒险,8.0,35387,27.8,47.4,22.0,2.3,0.5
冒牌天神2,汤姆·沙迪亚克,史蒂夫·卡瑞尔,2007,96,美国,喜剧 / 家庭 / 奇幻,6.5,29297,6.9,26.7,54.2,10.7,1.5
求爱上上签,王晶,刘嘉玲,2004,101,香港,喜剧 / 爱情,5.8,24745,2.6,13.3,60.1,20.4,3.6
笔仙,安兵基,李世恩,2004,92,韩国,恐怖,6.3,27058,5.6,22.0,55.2,14.5,2.6
妙警贼探 第一季,Bronwen Hughes,马特·波莫,,,美国,剧情 / 喜剧 / 悬疑 / 犯罪,8.6,35724,45.1,41.7,12.1,0.9,0.1
史蒂夫·乔布斯,丹尼·博伊尔,迈克尔·法斯宾德,2015,122,英国 / 美国,剧情 / 传记,7.2,33447,11.7,42.8,39.2,5.3,0.9
珠光宝气,戚其义,邵美琪,,,香港,剧情,7.5,32136,16.7,44.5,34.9,3.3,0.6
杀了我治愈我,金镇万,池晟,,,韩国,剧情 / 喜剧 / 爱情,8.8,43222,56.2,30.7,11.0,1.5,0.7
古今大战秦俑情,程小东,张艺谋,1990,106,香港,爱情 / 奇幻 / 冒险 / 古装,6.8,27770,9.7,31.9,48.2,8.5,1.7
治愈者,李政燮 / 金振宇,池昌旭,,,韩国,剧情 / 喜剧 / 爱情 / 悬疑,8.4,37156,44.4,36.7,16.0,2.2,0.8
国际市场,尹齐均,黄晸玟,2014,126,韩国,剧情 / 家庭,8.3,33780,36.0,44.6,17.3,1.7,0.4
深海寻人,徐克,李心洁,2008,118,中国大陆 / 香港,剧情 / 爱情 / 惊悚 / 恐怖 / 奇幻,5.8,27508,4.5,16.5,50.5,23.0,5.5
早间主播,罗杰·米歇尔,瑞秋·麦克亚当斯,2010,106,美国,剧情 / 喜剧 / 爱情,7.7,31422,17.9,51.0,29.0,1.8,0.3
江湖,黄精甫,刘德华,2004,85,香港,剧情 / 动作 / 犯罪,6.9,27433,11.1,34.2,45.7,7.8,1.2
有种你爱我,李欣蔓,江一燕,2015,105,中国大陆,喜剧 / 爱情,4.6,32417,2.4,6.6,33.9,35.2,21.9
逃狱三王,伊桑·科恩 / 乔尔·科恩,乔治·克鲁尼,2000,107,英国 / 法国 / 美国,喜剧 / 犯罪 / 冒险,7.9,31230,24.0,49.0,24.0,2.5,0.5
龙的传人,李修贤,周星驰,1991,96,香港,喜剧,6.9,27096,10.5,31.3,51.6,6.0,0.7
007之黄金眼,马丁·坎贝尔,皮尔斯·布鲁斯南,1995,130,英国 / 美国,动作 / 惊悚 / 冒险,7.5,27614,13.4,48.8,35.4,2.0,0.3
校对女孩河野悦子,佐藤东弥,石原里美,,,日本,剧情 / 喜剧 / 爱情,7.6,37563,20.0,43.9,31.0,4.2,0.9
传染病,史蒂文·索德伯格,玛丽昂·歌迪亚,2011,106,美国 / 阿联酋,剧情 / 科幻 / 惊悚 / 灾难,6.4,31561,4.9,25.4,55.3,12.8,1.6
法证先锋,梅小青,欧阳震华,,,香港,剧情 / 犯罪,8.4,30010,33.5,51.8,14.1,0.5,0.1
小鬼当街,帕特里克·里德·约翰逊,亚当·罗伯特·沃顿,1994,99,美国,喜剧 / 冒险,8.1,27918,30.7,47.6,20.1,1.3,0.3
