剧情,1849031,当幸福来敲门,加布里埃莱·穆奇诺,威尔·史密斯 / 贾登·史密斯 / 坦迪·牛顿 / 布莱恩·豪威  / 詹姆斯·凯伦 / 丹·卡斯泰兰尼塔 / 柯特·富勒 / 塔卡尤·费舍尔 / 凯文·韦斯特 / 乔治·张 / 戴维·迈克尔·西尔弗曼 / 多米尼克·博夫 / 杰弗·卡伦 / 乔伊芙·拉文 / 斯科特·克拉斯,2008,117,美国,剧情 / 家庭 / 传记,45,8.9,583126,55.8,35.4,8.2,0.5,0.1
剧情,1929463,少年派的奇幻漂流,李安,苏拉·沙玛 / 伊尔凡·可汗 / 拉菲·斯波 / 阿迪勒·侯赛因 / 塔布 / 阿尤什·坦东 / 加塔姆·贝鲁尔 / 阿彦·汗 / 穆德·阿巴斯·卡勒里 / 维比什·希瓦库玛 / 热拉尔·德帕迪约 / 詹姆斯·塞托 / 俊·奈托 / 安德里亚·迪·斯戴法诺 / 沙拉万提·塞纳特 / 王柏杰 / 柯一正 / 黄健玮,2012,127,美国 / 台湾 / 英国 / 加拿大,剧情 / 奇幻 / 冒险,45,9.0,619454,60.7,31.6,7.0,0.5,0.2
剧情,3319755,怦然心动,罗伯·莱纳,玛德琳·卡罗尔 / 卡兰·麦克奥利菲 / 瑞贝卡·德·莫妮 / 安东尼·爱德华兹 / 约翰·马奥尼 / 佩内洛普·安·米勒 / 艾丹·奎因 / 凯文·韦斯曼 / 摩根·莉莉 / 肖恩·哈珀 / 瑞安·克茨纳 / 吉莉安·普法夫 / 迈克尔·博萨 / 博·勒纳 / 杰奎琳·埃沃拉 / 泰勒·格鲁秀斯,2010,90,美国,剧情 / 喜剧 / 爱情,45,8.9,603067,56.1,34.7,8.4,0.6,0.1
剧情,1652587,阿凡达,詹姆斯·卡梅隆,萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗 / 史蒂芬·朗 / 米歇尔·罗德里格兹 / 吉奥瓦尼·瑞比西 / 乔·大卫·摩尔  / 希·庞德 / 韦斯·斯塔迪 / 拉兹·阿隆索 / 迪利普·劳 / 马特·杰拉德,2010,162,美国 / 英国,动作 / 科幻 / 冒险,45,8.6,547916,47.4,37.0,14.0,1.2,0.4
剧情,1292213,大话西游之大圣娶亲,刘镇伟,周星驰 / 吴孟达 / 朱茵 / 蔡少芬 / 蓝洁瑛 / 莫文蔚 / 罗家英 / 刘镇伟 / 陆树铭 / 李健仁,2014,95,香港 / 中国大陆,喜剧 / 爱情 / 奇幻 / 冒险,45,9.2,536137,66.8,26.0,6.5,0.5,0.2
剧情,1292370,剪刀手爱德华,蒂姆·波顿,约翰尼·德普 / 薇诺娜·瑞德 / 黛安·韦斯特 / 安东尼·迈克尔·豪尔 / 凯西·贝克 / 罗伯特·奥利维里 / 康查塔·费雷尔 / 卡罗琳·阿隆 / 迪克·安东尼·威廉姆斯 / 澳澜·琼斯 / 文森特·普莱斯 / 艾伦·阿金 / 苏珊·布洛马特 / Linda Perri / 约翰·戴维森,1990,105,美国,剧情 / 爱情 / 奇幻,45,8.7,508834,47.2,39.8,12.0,0.9,0.2
剧情,1292215,天使爱美丽,让-皮埃尔·热内,奥黛丽·塔图 / 马修·卡索维茨 / 吕菲斯 / 洛莱拉·克拉沃塔 / 塞尔日·梅兰 / 贾梅尔·杜布兹 / 克洛蒂尔德·莫勒 / 克莱尔·莫里耶 / 伊莎贝尔·南蒂 / 多米尼克·皮侬 / 阿尔蒂斯·德·彭居埃恩 / 友兰达·梦露 / 于尔班·康塞利埃 / 莫里斯·贝尼舒 / 米歇尔·罗班 / 安德烈·达芒 / 克洛德·佩隆 / 阿尔梅尔 / 迪基·奥尔加多 / Kevin Fernandes / 弗洛拉·吉耶 / 阿莫里·巴博尔 / 欧仁·贝蒂埃 / 让·达里 / 马克·阿米约,2001,122,法国 / 德国,喜剧 / 爱情,45,8.7,506447,51.1,35.6,11.8,1.2,0.3
剧情,2129039,飞屋环游记,彼特·道格特 / 鲍勃·彼德森,爱德华·阿斯纳 / 克里斯托弗·普卢默 / 乔丹·长井 / 鲍勃·彼德森 / 戴尔里·林多 / 杰罗姆·兰福特 / 约翰·拉岑贝格 / 大卫·卡耶 / 艾丽·道克特 / 杰里米·利里 / 米凯·麦高万 / 丹尼·曼恩 / 唐纳德·富利洛夫 / 杰斯·哈梅尔 / 乔什·库雷 / 彼特·道格特,2009,96,美国,剧情 / 喜剧 / 动画 / 冒险,45,8.9,534635,54.7,36.1,8.7,0.4,0.1
剧情,4920528,那些年，我们一起追的女孩,九把刀,柯震东 / 陈妍希 / 敖犬 / 郝劭文 / 蔡昌宪 / 侯彦西 / 弯弯 / 邱彦翔 / 王彩桦 / 柯义浤 / 黄逸祥 / 李凤新 / 黄柏钧 / 赖雅妍 / 高丽红 / 李维维 / 严艺文 / 蔡武雄,2012,110,台湾,剧情 / 喜剧 / 爱情,40,8.1,514207,32.4,43.7,21.0,2.1,0.6
剧情,1291549,放牛班的春天,克里斯托夫·巴拉蒂,热拉尔·朱尼奥 / 让-巴蒂斯特·莫尼耶 / 弗朗索瓦·贝莱昂 / 凯德·麦拉德 / 玛丽·布奈尔 / 马科森斯·珀林 / 让-保罗·博奈雷 / 格雷戈里·加迪诺尔 / 托马斯·布伦门塔尔 / Cyril Bernicot / Simon Fargeot / Théodule Carré-Cassaigne / Philippe du Janerand / 卡罗尔·韦斯 / Erick Desmarestz,2004,97,法国 / 瑞士 / 德国,剧情 / 音乐,45,9.2,492505,65.6,29.3,4.8,0.2,0.1
剧情,1292064,楚门的世界,彼得·威尔,金·凯瑞 / 劳拉·琳妮 / 艾德·哈里斯 / 诺亚·艾默里奇 / 娜塔莎·麦克艾霍恩,1998,103,美国,剧情 / 科幻,45,9.1,504605,61.4,32.3,5.9,0.3,0.1
剧情,3011091,忠犬八公的故事,拉斯·霍尔斯道姆,理查·基尔 / 萨拉·罗默尔 / 琼·艾伦 / 罗比·萨布莱特 / 艾瑞克·阿瓦利 / 田川洋行 / 杰森·亚历山大 / 罗伯特·卡普荣,2009,93,美国 / 英国,剧情,45,9.2,504026,68.2,25.6,5.6,0.4,0.1
剧情,25662329,疯狂动物城,拜伦·霍华德 / 瑞奇·摩尔 / 杰拉德·布什,金妮弗·古德温 / 杰森·贝特曼 / 伊德里斯·艾尔巴 / 珍妮·斯蕾特 / 内特·托伦斯 / 邦尼·亨特 / 唐·雷克 / 汤米·钟 / J·K·西蒙斯 / 奥克塔维亚·斯宾瑟 / 艾伦·图代克 / 夏奇拉 / 雷蒙德·S·佩尔西 / 德拉·萨巴 / 莫里斯·拉马奇 / 菲尔·约翰斯顿 / 约翰·迪·玛吉欧 / 凯蒂·洛斯 / 吉塔·雷迪 / 杰西·科尔蒂 / 汤米·利斯特 / 乔希·达拉斯 / 瑞奇·摩尔 / 凯斯·索西 / 彼得·曼斯布里奇 / 拜伦·霍华德 / 杰拉德·布什 / 马克·史密斯 / 乔西·特立尼达 / 约翰·拉维尔 / 克里斯汀·贝尔 / 吉尔·科德斯 / 梅利莎·古德温,2016,109,美国,喜剧 / 动画 / 冒险,45,9.2,551244,64.3,29.8,5.5,0.3,0.1
剧情,4739952,初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 / 华森·波克彭,平采娜·乐维瑟派布恩 / 马里奥·毛瑞尔 / 苏达拉·布查蓬 / 雅尼卡·桑普蕾舞 / 诺特·阿查拉那·阿瑞亚卫考 / 皮拉瓦特·赫拉巴特 / 普特鹏·普罗萨卡·那·萨克那卡林 / 华森·波克彭,2012,118,泰国,剧情 / 喜剧 / 爱情,40,8.3,465169,37.1,41.9,18.6,2.0,0.5
剧情,1889243,星际穿越,克里斯托弗·诺兰,马修·麦康纳 / 安妮·海瑟薇 / 杰西卡·查斯坦 / 卡西·阿弗莱克 / 迈克尔·凯恩 / 马特·达蒙 / 麦肯吉·弗依 / 蒂莫西·柴勒梅德 / 艾伦·伯斯汀 / 约翰·利思戈 / 韦斯·本特利 / 大卫·吉雅西 / 比尔·欧文 / 托弗·戈瑞斯 / 科莱特·沃夫 / 弗朗西斯·X·麦卡蒂 / 安德鲁·博尔巴 / 乔什·斯图沃特 / 莱雅·卡里恩斯 / 利亚姆·迪金森 / 杰夫·赫普内尔 / 伊莱耶斯·加贝尔 / 布鲁克·史密斯 / 大卫·奥伊罗 / 威廉姆·德瓦内 / 拉什·费加 / 格里芬·弗雷泽 / 弗洛拉·诺兰,2014,169,美国 / 英国 / 加拿大 / 冰岛,剧情 / 科幻 / 冒险,45,9.2,531445,65.9,27.0,6.2,0.6,0.3
剧情,1292223,七宗罪,大卫·芬奇,摩根·弗里曼 / 布拉德·皮特 / 凯文·史派西 / 格温妮斯·帕特洛 / 安德鲁·凯文·沃克 / 约翰·卡西尼 / 雷格·E·凯蒂 / 李·厄米,1995,127,美国,剧情 / 悬疑 / 惊悚 / 犯罪,45,8.7,456543,48.7,40.4,10.2,0.6,0.2
剧情,1292063,美丽人生,罗伯托·贝尼尼,罗伯托·贝尼尼 / 尼可莱塔·布拉斯基 / 乔治·坎塔里尼 / 朱斯蒂诺·杜拉诺 / 赛尔乔·比尼·布斯特里克 / 玛丽萨·帕雷德斯 / 霍斯特·布赫霍尔茨 / 利迪娅·阿方西 / 朱利亚娜·洛约迪切 / 亚美利哥·丰塔尼 / 彼得·德·席尔瓦 / 弗朗西斯·古佐 / 拉法埃拉·莱博罗尼 / 克劳迪奥·阿方西 / 吉尔·巴罗尼 / 马西莫·比安奇 / 恩尼奥·孔萨尔维 / 吉安卡尔洛·科森蒂诺 / 阿伦·克雷格,1997,116,意大利,剧情 / 喜剧 / 爱情 / 战争,50,9.5,455549,77.8,19.1,2.8,0.2,0.1
